Traditional Chinese,Simplified Chinese,Price
斜肩設計款綁帶毛衣mob,斜肩设计款绑带毛衣mob,NT$380
氣質後背包,气质后背包,NT$200
蕾絲緹花鬆緊褲碎花長裙(滿額贈送)#25春天市集,蕾丝缇花松紧裤碎花长裙(满额赠送)#25春天市集,NT$0
Timberland白色短版上衣T恤(滿額贈送)#25母親節,Timberland白色短版上衣T恤(满额赠送)#25母亲节,NT$0
#25年中慶 Niko and 格紋拼接裙,#25年中庆 Niko and 格纹拼接裙,NT$600 (原價 NT$750)
工裝短裙有安全褲,工装短裙有安全裤,NT$100
白色水鑽鏈條肩帶水貂絨短版厚款上衣辣妹毛衣(滿額贈送)#25春天市集,白色水钻链条肩带水貂绒短版厚款上衣辣妹毛衣(满额赠送)#25春天市集,NT$0
CITEN手拿包米色 （有髒污介意請先詢問,CITEN手拿包米色 （有脏污介意请先询问,NT$500
近新_羽毛綁帶細肩洋裝🇰🇷正韓Hong葒 (atulip、9.amez同款) #gatto/mouggan/doe/wuzo/soulsis/ear studio/thenaked/murph/afad/oiiv/92pleats/tolaku,近新_羽毛绑带细肩洋装🇰🇷正韩Hong荭 (atulip、9.amez同款) #gatto/mouggan/doe/wuzo/soulsis/ear studio/thenaked/murph/afad/oiiv/92pleats/tolaku,"NT$1,000"
新年特價 - Fossil 水晶水鑽珍珠純銀閃亮手鏈,新年特价 - Fossil 水晶水钻珍珠纯银闪亮手链,NT$800
一字領 粉 雪紡 上衣,一字领 粉 雪纺 上衣,NT$100
紫色三件式套裝,紫色三件式套装,NT$400
白色牛仔直筒褲 可調節,白色牛仔直筒裤 可调节,NT$120
Zara短版外套,Zara短版外套,NT$300
綠色雪紡紗下擺多巴胺穿搭韓國製百搭高腰褲裙正韓魚尾裙,绿色雪纺纱下摆多巴胺穿搭韩国制百搭高腰裤裙正韩鱼尾裙,NT$159
【極新近全新】Vendome Aoyama 10K紅寶石項鍊｜日系質感小眾設計｜含紅寶石｜原價上萬收藏款、絕版單品,【极新近全新】Vendome Aoyama 10K红宝石项链｜日系质感小众设计｜含红宝石｜原价上万收藏款、绝版单品,"NT$12,900"
黑色百搭短裙魚尾裙褲裙,黑色百搭短裙鱼尾裙裤裙,NT$159
無袖白色綁帶釘珠正韓上衣襯衫,无袖白色绑带钉珠正韩上衣衬衫,NT$290
情侶長短款T恤  男/女T恤（白）,情侣长短款T恤  男/女T恤（白）,NT$80
🇰🇷 降價 thenaked短版羊毛毛衣  onsaturday hellocik nuhi,🇰🇷 降价 thenaked短版羊毛毛衣  onsaturday hellocik nuhi,NT$690
Gemini&Joo黑色不規則下擺短版上衣(有墊肩),Gemini&Joo黑色不规则下摆短版上衣(有垫肩),NT$200
[無印良品]皺褶長裙,[无印良品]皱褶长裙,NT$300
IROO西瓜紅色短袖綁帶蝴蝶結甜美洋裝時尚連身裙,IROO西瓜红色短袖绑带蝴蝶结甜美洋装时尚连身裙,NT$350
Prima 方領寬肩帶針織內搭背心 白色,Prima 方领宽肩带针织内搭背心 白色,NT$150
Rascal 小浣熊小包包 內裏有可愛小浣熊,Rascal 小浣熊小包包 内里有可爱小浣熊,NT$130
UNIQLO 彈性抽繩 黑色舒適棉質束口褲,UNIQLO 弹性抽绳 黑色舒适棉质束口裤,NT$100
白色細肩帶Bratop 胸墊背心 胸罩背心 小可愛 內搭吊帶背心,白色细肩带Bratop 胸垫背心 胸罩背心 小可爱 内搭吊带背心,NT$99
寬鬆短版瑜伽服,宽松短版瑜伽服,NT$50
日本品牌 | Te chichi | 全新 原價4290日幣 2way 白色 螺紋 羅紋 背心 上衣 小背心 日牌,日本品牌 | Te chichi | 全新 原价4290日币 2way 白色 螺纹 罗纹 背心 上衣 小背心 日牌,NT$149
✨全新便宜售出✨ 厚底星星鬆糕休閒鞋 全新,✨全新便宜售出✨ 厚底星星松糕休闲鞋 全新,NT$250
全新✨ UNIQLO:C 2025春夏 抓皺洋裝（無袖）/黑色,全新✨ UNIQLO:C 2025春夏 抓皱洋装（无袖）/黑色,NT$790
ISSEY MIYAKE 三宅一生 ME系列 黑色 摺疊樹幹包,ISSEY MIYAKE 三宅一生 ME系列 黑色 折叠树干包,"NT$1,500"
情侶長短款T恤  男/女T恤（黑）,情侣长短款T恤  男/女T恤（黑）,NT$80
Polo基本款白襯衫,Polo基本款白衬衫,"NT$2,000"
CELINE CANVAS 凱旋門老花護照套,CELINE CANVAS 凯旋门老花护照套,"NT$8,500"
米菲兔收納包,米菲兔收纳包,NT$150
自有品牌,自有品牌,NT$39
黑色細肩帶bra top長洋裝,黑色细肩带bra top长洋装,NT$299
女patagonia手套,女patagonia手套,NT$600
【免費贈送】Nubra 罩杯C-D可使用,【免费赠送】Nubra 罩杯C-D可使用,NT$0
全新 saucony Shadow 5000索康尼 women white beidge 女性運動鞋 球鞋 休閒鞋 #25春天市集,全新 saucony Shadow 5000索康尼 women white beidge 女性运动鞋 球鞋 休闲鞋 #25春天市集,"NT$1,680"
Adidas 愛迪達墨綠色背心bra top,Adidas 爱迪达墨绿色背心bra top,NT$100
MONCLER羽絨外套2號紅色,MONCLER羽绒外套2号红色,"NT$8,000"
線條拼接短袖雪紡洋裝,线条拼接短袖雪纺洋装,NT$50
(現貨) 嫻氏｜關山月⟢ 菫青.黃水晶.櫻花瑪瑙.綠幽靈.天然石水晶手鍊手環,(现货) 娴氏｜关山月⟢ 菫青.黄水晶.樱花玛瑙.绿幽灵.天然石水晶手链手环,"NT$1,700"
咖啡色三件式泳裝 一套 $299,咖啡色三件式泳装 一套 $299,NT$299
